ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION9,REGION6,DESTINATION
Banphot Phisai,บรรพตพิสัย,TH6005,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
Kao Liao,เก้าเลี้ยว,TH6006,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
Takhli,ตาคลี,TH6007,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
Tha Tako,ท่าตะโก,TH6008,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
Phaisali,ไพศาลี,TH6009,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
Phayuha Khiri,พยุหะคีรี,TH6010,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
Lat Yao,ลาดยาว,TH6011,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
Tak Fa,ตากฟ้า,TH6012,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
Mae Wong,แม่วงก์,TH6013,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
Mae Poen,แม่เปิน,TH6014,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
Chum Ta Bong,ชุมตาบง,TH6015,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
Mueang Uthai Thani,เมืองอุทัยธานี,TH6101,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
Thap Than,ทัพทัน,TH6102,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคกลาง,เมืองรอง
